ASIN,Similar,Reviews,Ratings
0827229534,0,2,5.0
0738700797,0,12,4.5
0486287785,0,1,5.0
0842328327,0,1,4.0
1577943082,0,0,0.0
0486220125,0,17,4.0
0231118597,0,15,4.5
1859677800,0,0,0.0
0375709363,0,6,4.0
0871318237,0,1,5.0
1590770218,0,12,4.5
0313230269,0,0,0.0
1559362022,0,8,4.0
0195110382,0,10,4.5
0849311012,0,3,3.5
078510870X,0,8,3.5
3895780812,0,1,5.0
0393049388,0,3,3.0
0553525476,0,2,4.5
0939165252,0,2,3.5
1590930509,0,1,4.0
0231096704,0,2,3.0
1893732290,0,0,0.0
0781718791,0,0,0.0
0471150274,0,0,0.0
0895872218,0,2,5.0
0761116982,0,11,4.5
0439240751,0,4,5.0
0618111212,0,5,4.5
1898630038,0,0,0.0
0787950599,0,3,4.5
0312199406,0,22,3.5
1573221740,0,8,5.0
0130132543,0,0,0.0
0486268780,10,2,4.5
1861007418,0,4,4.0
0826449379,0,0,0.0
0590568833,0,10,5.0
0439420717,0,0,0.0
0687054532,0,7,4.0
0875420532,0,6,4.5
0944708498,0,1,5.0
0613100093,0,4,5.0
0486275035,0,1,4.0
1550416243,0,0,0.0
0398068917,0,1,1.0
087842461X,0,0,0.0
0393971694,0,2,5.0
1550373080,0,0,0.0
0026879077,0,0,0.0
0966723821,0,4,5.0
0689846088,0,6,3.0
0273651870,0,0,0.0
0393037622,0,4,4.0
1571515429,0,1,5.0
0810114275,0,1,5.0
0415925398,0,0,0.0
0415223954,0,0,0.0
157281196X,0,3,5.0
0375803394,0,2,4.0
0113300174,0,2,4.0
0786863919,0,9,4.5
1581150040,0,2,3.5
0312982178,0,11,4.5
0874850037,0,3,4.5
0811726371,0,12,4.5
1884997015,0,1,5.0
0140430407,0,4,5.0
059516630X,0,0,0.0
0912500476,0,0,0.0
0807205249,0,4,5.0
0415157528,0,2,3.5
039802278X,0,0,0.0
0671727737,0,46,4.5
1566913810,0,2,3.5
037575380X,0,7,4.5
0965740056,0,0,0.0
039572774X,0,15,4.0
0887402631,0,0,0.0
0310485002,0,21,4.0
042515517X,0,5,4.0
0071402306,0,0,0.0
0787958743,0,0,0.0
0743509315,0,76,4.0
1858685486,0,3,4.5
0151803870,10,2,4.5
0820451576,0,0,0.0
1555919332,0,2,2.5
0821825917,0,0,0.0
038548125X,0,2,4.0
0838531377,0,1,4.0
0471346608,0,5,5.0
0684868008,0,10,4.0
0736805656,0,0,0.0
1572315938,0,1,5.0
0736625801,0,0,0.0
0809240394,0,3,2.5
0533139317,0,4,5.0
0820112518,0,0,0.0
0380819546,0,6,4.5
0590464272,0,1,5.0
0849943221,0,1,5.0
0140445684,10,40,4.0
0688060676,0,1,5.0
059047913X,0,2,5.0
076453243X,0,5,3.0
0395530377,0,0,0.0
0878301534,0,5,5.0
0312871880,0,5,4.0
1579473024,0,2,3.5
0767905288,0,375,3.5
078795893X,0,3,5.0
0743504097,0,1,5.0
0877936528,0,1,5.0
0609608363,0,1,5.0
0452011604,0,14,3.5
0781433525,0,4,5.0
0824518659,0,1,3.0
0786710772,0,5,3.5
1886110867,10,10,2.0
0590108859,0,3,4.5
080784991X,0,2,3.5
0195044193,0,0,0.0
1581127723,0,2,5.0
0806626062,0,1,4.0
0743202554,0,18,4.5
0812550749,0,42,4.0
0764118218,0,0,0.0
0140272100,0,22,4.0
0939343347,0,0,0.0
0842374043,0,1,5.0
0553487388,0,0,0.0
0804119368,0,23,4.0
0890541795,0,1,5.0
0810939770,0,6,5.0
0931892813,0,2,3.0
0895296586,0,12,3.5
0807842109,0,4,4.5
0226309045,0,13,4.0
0385332998,10,4,3.5
1560799501,0,1,4.0
0471394327,0,8,5.0
1566562988,0,0,0.0
0064470954,0,14,4.5
0838514944,0,2,4.0
0415276322,0,2,4.5
0792378946,0,0,0.0
0299183106,0,8,4.5
1858600073,0,5,5.0
0788194607,0,1,4.0
0486276716,0,0,0.0
1883991420,0,0,0.0
0465024769,0,45,3.5
0060195207,0,8,4.5
0768907152,0,4,5.0
1896551327,0,0,0.0
041523008X,0,0,0.0
1582700176,0,1,5.0
0471978515,0,0,0.0
1573229326,0,261,3.0
0967328934,0,0,0.0
1570718903,0,5,4.0
0916990419,0,0,0.0
0439288487,0,0,0.0
0883680947,0,39,4.5
0671562711,0,8,4.5
0873376129,0,9,4.0
1584230169,0,2,4.0
0811820289,0,2,4.5
0944448143,0,0,0.0
0792369696,0,0,0.0
0937065889,0,1,5.0
1588800334,0,13,3.0
0738841617,0,8,5.0
158715837X,0,0,0.0
0471215716,10,9,3.0
1892041413,0,1,4.0
0743227433,0,21,4.0
1881173097,0,0,0.0
0595216498,0,0,0.0
0066210887,0,5,3.5
1402701179,0,0,0.0
0849962676,0,30,4.5
0791041131,0,0,0.0
0964385376,0,2,3.0
0816514828,0,0,0.0
0440415713,0,1,5.0
1882413024,0,5,5.0
9500421690,0,0,0.0
1928936180,0,1,5.0
0374523096,0,2,4.0
1893441695,0,2,4.0
1571882588,0,4,4.5
0769218261,0,3,4.5
1589490002,0,0,0.0
1893990060,0,0,0.0
0824799372,0,1,5.0
014023778X,0,5,5.0
0793807506,0,4,4.5
0962520713,0,0,0.0
0962096733,0,22,4.5
0786408804,0,2,3.5
1568543115,0,0,0.0
0312862156,0,4,4.0
0446389862,0,17,4.0
0811810984,0,13,4.0
0027348407,0,27,4.0
0872886476,0,1,5.0
006440823X,0,167,4.5
0660179687,0,2,3.5
0195130529,0,2,5.0
0439406420,0,1,5.0
3822860476,0,7,3.5
0805040862,0,0,0.0
0971381100,0,3,4.5
1885167369,0,23,3.5
0875421210,0,47,4.5
0873417909,0,5,4.5
0809016109,0,2,3.5
0064440451,0,8,5.0
0140437983,0,18,4.5
0672321971,0,7,3.0
0029148510,0,5,3.0
0814766471,0,0,0.0
0694524980,0,1,2.0
093314993X,0,9,4.5
046502968X,0,9,4.5
0028642406,0,2,5.0
0761537678,0,3,4.0
193168202X,0,1,5.0
0738514705,0,1,4.0
0802138438,0,0,0.0
0786807695,0,74,4.5
1586481053,0,12,3.5
0916562514,0,8,5.0
0399522719,0,4,3.5
1575849100,0,2,5.0
0446312193,0,10,3.5
0970009844,0,5,3.5
0201634562,0,4,4.5
1558505938,0,0,0.0
0791412768,0,0,0.0
0385504209,0,3049,3.5
9871071361,0,1,3.0
0231113854,0,0,0.0
0785806180,0,0,0.0
0843166312,0,0,0.0
0062514547,0,14,4.5
042512911X,0,5,5.0
0195019636,0,1,3.0
0195039343,0,16,5.0
0380732734,0,9,3.5
1566702895,0,2,5.0
0700609024,0,0,0.0
0804833575,0,0,0.0
1893554627,0,10,5.0
8480883707,0,0,0.0
0802806929,0,1,4.0
0873525825,0,0,0.0
0966333209,0,0,0.0
0345406672,0,2,5.0
0807403563,0,3,4.5
0672320789,0,19,4.5
1576239675,0,1,5.0
0312119119,0,4,4.0
1884834353,0,1,5.0
1563824035,0,3,4.0
0736649417,0,14,4.5
0553138057,0,1,4.0
1876778911,0,4,5.0
0789780127,0,0,0.0
1578064295,0,1,3.0
0743445643,0,16,4.0
0840733208,0,14,4.5
1563240904,0,0,0.0
0738810991,0,3,5.0
0879059788,0,0,0.0
0887393012,0,0,0.0
043939886X,0,1,5.0
0198164998,0,1,5.0
0443071209,0,0,0.0
0131100262,0,1,5.0
1587620685,0,12,5.0
0071580255,0,5,5.0
0130877263,0,3,5.0
0130810819,0,10,4.5
0815314213,0,0,0.0
078971826X,0,29,4.0
0471983861,0,3,5.0
1879773058,0,4,4.5
0882143786,0,0,0.0
075531011X,0,1,5.0
0140433562,0,2,4.5
0415143551,0,2,4.5
0939193329,0,0,0.0
0887292933,0,20,4.5
0891873708,0,0,0.0
0834210126,0,3,5.0
0963288539,0,7,3.5
0132290227,0,0,0.0
0792376781,0,0,0.0
019506206X,0,0,0.0
0071372644,0,0,0.0
0446677027,0,20,4.0
0595238955,0,3,3.5
0195131886,0,0,0.0
1568218869,0,1,5.0
1885593694,0,0,0.0
1565634659,0,1,2.0
0684856921,0,11,4.5
1555913466,0,1,5.0
0899333397,0,2,3.0
8170592372,0,0,0.0
0072528613,0,0,0.0
0937381608,0,2,4.0
1565794370,0,2,5.0
0516262440,0,1,5.0
1892784076,0,9,4.5
0586041559,0,2,5.0
097111000X,0,1,5.0
0874872669,0,1,5.0
0898703484,0,13,4.0
0262194384,0,0,0.0
1551668556,0,58,4.5
0262561077,0,6,4.0
0791415805,0,4,4.5
1551802775,0,8,3.5
0674875311,0,2,4.5
0689818289,0,2,5.0
1853434701,0,0,0.0
0743520947,0,20,4.5
0198643128,0,3,3.5
1561230723,0,0,0.0
1571741275,0,1,5.0
088404291X,0,8,3.5
0486231801,0,1,3.0
3895088994,0,7,5.0
067972186X,0,15,4.5
3822802719,0,0,0.0
0835912086,0,0,0.0
0306808579,0,4,5.0
0761540849,0,2,5.0
1852791047,0,2,4.5
0787311758,0,0,0.0
0130153621,0,0,0.0
157270182X,0,2,5.0
0805055592,0,27,4.5
087678094X,0,0,0.0
0721674895,0,2,3.5
1592000088,0,7,2.0
0486284999,0,62,4.5
0939459043,0,0,0.0
0679444653,0,424,4.5
1563897431,0,0,0.0
1891024248,0,0,0.0
096745039X,0,2,4.0
0802848109,0,0,0.0
1575870347,0,1,5.0
0312966091,0,141,4.5
1579651801,0,0,0.0
0061007226,0,179,4.5
0803960972,0,0,0.0
1561704962,0,0,0.0
1565546644,0,0,0.0
0520225228,0,0,0.0
0811826449,0,4,5.0
0846450739,0,0,0.0
081321078X,0,0,0.0
1563220776,0,3,4.5
0847690458,0,1,5.0
0787951978,0,2,5.0
0471377554,0,0,0.0
0385333641,0,47,4.5
0834209136,0,1,5.0
0816623414,0,2,5.0
0866539972,0,2,5.0
1874416125,0,14,4.0
0679449159,0,20,4.5
0800618149,0,1,4.0
1901295141,0,0,0.0
1401015786,0,14,4.5
0865302839,0,0,0.0
0060920203,0,13,3.5
089555092X,0,1,5.0
0064436411,0,4,5.0
0590282085,0,10,4.5
1586648500,0,1,4.0
0735103488,0,1,5.0
0671315242,10,8,4.5
0689801130,0,4,5.0
0399521372,0,9,5.0
0891099506,0,2,4.0
0781719682,0,0,0.0
0810820285,0,0,0.0
1579102573,0,1,4.0
0895299860,0,1,5.0
0028639197,0,55,4.5
0452280362,0,28,3.0
0130803197,0,0,0.0
0891061320,0,6,5.0
0520201469,0,0,0.0
1570753407,0,0,0.0
1582614687,0,5,3.5
1887734317,0,0,0.0
0691089566,0,3,4.5
0966854713,0,4,4.0
1892629011,0,3,4.5
9500715899,0,0,0.0
0764420747,0,0,0.0
0802436919,0,9,3.5
9757502006,0,9,5.0
1932047093,0,10,5.0
0415141176,0,1,4.0
1561502391,0,0,0.0
3829053851,0,1,5.0
0830714049,0,0,0.0
1882269071,0,1,5.0
0759248192,0,0,0.0
0750673389,0,0,0.0
0849914434,0,0,0.0
0674993691,0,0,0.0
0226519996,0,1,4.0
186100818X,0,5,4.0
968783143X,0,0,0.0
0192842374,0,1,5.0
1931834040,0,0,0.0
0687020883,0,0,0.0
1402071302,0,0,0.0
048641793X,0,0,0.0
0965980928,0,0,0.0
0970007914,0,0,0.0
0684831376,0,5,5.0
0789428660,0,1,5.0
0872290980,0,0,0.0
1591821924,0,2,5.0
0811201899,0,3,4.0
0310228735,0,2,3.5
0694524182,0,78,4.0
0793562899,0,1,3.0
0300059191,0,1,4.0
1587680238,0,2,5.0
0801020751,0,7,4.5
0520209672,0,1,5.0
0521775043,0,5,5.0
0873415175,0,4,4.5
0715314033,0,1,4.0
0613020707,0,3,3.5
0451523822,0,56,4.5
0937822558,0,1,3.0
0451163966,0,316,4.5
0803970978,0,1,5.0
0399233806,0,32,4.5
0130742163,0,8,3.5
0553801430,0,178,3.5
0374454973,0,10,3.5
188576717X,0,26,2.5
1883403413,0,0,0.0
0446677817,0,7,4.5
0151009309,0,10,2.0
0964742101,0,0,0.0
0927015153,0,0,0.0
0893913375,0,0,0.0
0531302989,0,1,5.0
0679767231,0,9,3.0
096312465X,0,6,5.0
0884897761,0,1,5.0
1881235254,0,4,5.0
0618096337,0,1,5.0
0595176518,0,0,0.0
2831570492,0,0,0.0
0912661119,0,1,1.0
0425182681,0,11,3.5
0910413401,0,1,5.0
0967294215,0,6,5.0
0262071819,0,0,0.0
0521011892,0,1,5.0
0787270180,0,0,0.0
0323019463,10,1,4.0
0375823018,0,0,0.0
9810206380,0,1,5.0
1559276827,0,6,4.5
0815335415,0,0,0.0
1892016222,0,1,3.0
019527251X,0,29,4.5
0689714920,0,54,4.5
038548948X,0,55,4.0
155110850X,0,1,4.0
0942349075,0,0,0.0
1878857126,0,0,0.0
1590341821,0,0,0.0
0553290991,10,64,4.0
0855328673,0,4,4.0
0773478957,0,0,0.0
0405019408,0,0,0.0
0740727451,0,1,4.0
0764315854,0,3,3.0
1572240571,0,3,4.5
0007116012,0,0,0.0
0440224489,0,63,3.5
0719057779,0,0,0.0
0879759488,0,0,0.0
0808562797,10,77,4.0
0762102780,0,0,0.0
0890847061,0,4,4.0
0486420116,0,5,4.0
0810966042,0,0,0.0
0966355881,0,0,0.0
0670030643,0,236,4.0
0060012404,0,40,3.5
0721635156,0,1,3.0
0964783231,10,0,0.0
0846442957,0,0,0.0
1565113306,0,551,4.5
0812991923,0,2,4.5
0934026262,0,14,4.5
0671723014,10,87,4.5
1560511567,0,0,0.0
0440221501,0,36,3.5
185227946X,0,1,4.0
0435086995,0,22,4.5
0520206150,10,3,3.5
1590073991,0,1688,3.0
1853461822,0,0,0.0
0684827948,0,6,4.0
073820188X,0,10,4.0
013099541X,0,1,1.0
0534368190,0,2,3.0
1884910394,0,16,5.0
0764153250,0,0,0.0
0915035162,0,0,0.0
0373764537,0,4,4.0
0393320030,0,15,5.0
0849302471,0,1,2.0
0631164014,0,4,4.5
0930588185,0,2,5.0
0785247599,0,1,2.0
0471546097,0,0,0.0
068982176X,0,0,0.0
0823414507,0,1,4.0
079382804X,0,7,3.5
1853915262,0,0,0.0
0789720817,0,1,5.0
1566891183,0,2,3.5
0805840915,0,0,0.0
